date,AAPL,MSFT
02-05-2012,83.71,31.8
03-05-2012,83.12,31.76
04-05-2012,80.75,30.98
07-05-2012,81.35,30.65
08-05-2012,81.17,30.5
09-05-2012,81.31,30.76
10-05-2012,81.5,30.74
11-05-2012,80.96,31.16
14-05-2012,79.75,30.68
15-05-2012,79.02,30.21
16-05-2012,78.01,29.9
17-05-2012,75.73,29.72
18-05-2012,75.77,29.27
21-05-2012,80.18,29.75
22-05-2012,79.57,29.76
23-05-2012,81.51,29.11
24-05-2012,80.76,29.07
25-05-2012,80.33,29.06
29-05-2012,81.75,29.56
30-05-2012,82.74,29.34
31-05-2012,82.53,29.19
01-06-2012,80.14,28.45
04-06-2012,80.61,28.55
05-06-2012,80.4,28.5
06-06-2012,81.64,29.35
07-06-2012,81.67,29.23
